#year	rate
0.08029 65.18837
0.10022 63.57576
0.12015 62.19894
0.14008 61.06456
0.16001 60.16449
0.17993 59.47678
0.19986 58.96753
0.21979 58.59371
0.23972 58.30663
0.25965 58.05577
0.27958 57.79271
0.29951 57.47485
0.31944 57.06849
0.33937 56.55130
0.35930 55.91367
0.37922 55.15917
0.39915 54.30383
0.41908 53.37458
0.43901 52.40678
0.45894 51.44119
0.47887 50.52057
0.49880 49.68622
0.51873 48.97465
0.53866 48.41474
0.55858 48.02546
0.57851 47.81442
0.59844 47.77729
0.61837 47.89821
0.63830 48.15094
0.65823 48.50100
0.67816 48.90835
0.69809 49.33051
0.71802 49.72600
0.73795 50.05761
0.75787 50.29544
0.77780 50.41934
0.79773 50.42061
0.81766 50.30271
0.83759 50.08095
0.85752 49.78122
0.87745 49.43765
0.89738 49.08962
0.91731 48.77815
0.93723 48.54218
0.95716 48.41491
0.97709 48.42065
0.99702 48.57245
1.01695 48.87079
1.03688 49.30346
1.05681 49.84661
1.07674 50.46698
1.09667 51.12511
1.11660 51.77910
1.13652 52.38869
1.15645 52.91917
1.17638 53.34475
1.19631 53.65099
1.21624 53.83608
1.23617 53.91081
1.25610 53.89719
1.27603 53.82589
1.29596 53.73276
1.31588 53.65482
1.33581 53.62607
1.35574 53.67369
1.37567 53.81497
1.39560 54.05527
1.41553 54.38740
1.43546 54.79223
1.45539 55.24071
1.47532 55.69692
1.49525 56.12190
1.51517 56.47769
1.53510 56.73140
1.55503 56.85859
1.57496 56.84578
1.59489 56.69179
1.61482 56.40776
1.63475 56.01598
1.65468 55.54759
1.67461 55.03945
1.69453 54.53070
1.71446 54.05913
1.73439 53.65797
1.75432 53.35332
1.77425 53.16238
1.79418 53.09275
1.81411 53.14257
1.83404 53.30159
1.85397 53.55283
1.87390 53.87463
1.89382 54.24283
1.91375 54.63282
1.93368 55.02136
1.95361 55.38795
1.97354 55.71571
1.99347 55.99195
2.01340 56.20830
2.03333 56.36063
2.05326 56.44879
2.07318 56.47630
2.09311 56.44996
2.11304 56.37946
2.13297 56.27684
2.15290 56.15591
2.17283 56.03145
2.19276 55.91822
2.21269 55.82986
2.23262 55.77755
2.25255 55.76889
2.27247 55.80681
2.29240 55.88887
2.31233 56.00712
2.33226 56.14846
2.35219 56.29581
2.37212 56.42967
2.39205 56.53034
2.41198 56.58017
2.43191 56.56588
2.45183 56.48047
2.47176 56.32446
